Nama_Proyek,Luas_Lahan,Status_Konflik,Lokasi,Tahun_Mulai
PLTS_Jawa1,600,tidak,Jawa Tengah,2022
PLTS_Sulawesi1,400,ya,Sulawesi Selatan,2021
PLTS_Jawa2,300,tidak,Jawa Barat,2023
PLTS_Bali1,550,ya,Bali,2022
PLTS_Sumatera1,450,tidak,Sumatera Utara,2021
PLTS_Kalimantan1,700,ya,Kalimantan Timur,2023
PLTS_Jawa3,350,tidak,Jawa Timur,2022
PLTS_Sulawesi2,500,ya,Sulawesi Tenggara,2021
PLTS_Banten1,650,tidak,Banten,2023
PLTS_Sumatera2,420,ya,Sumatera Selatan,2022
PLTS_Jawa4,480,tidak,Jawa Tengah,2021
PLTS_Bali2,580,ya,Bali,2023
PLTS_Kalimantan2,390,tidak,Kalimantan Selatan,2022
PLTS_Sulawesi3,620,ya,Sulawesi Selatan,2021
PLTS_Jawa5,340,tidak,Jawa Barat,2023
PLTS_Sumatera3,510,ya,Sumatera Utara,2022
PLTS_Banten2,460,tidak,Banten,2021
PLTS_Jawa6,680,ya,Jawa Tengah,2023
PLTS_Sulawesi4,430,tidak,Sulawesi Tenggara,2022
PLTS_Bali3,570,ya,Bali,2021
PLTS_Kalimantan3,490,tidak,Kalimantan Timur,2023
PLTS_Jawa7,360,ya,Jawa Timur,2022
PLTS_Sumatera4,640,tidak,Sumatera Selatan,2021
PLTS_Banten3,410,ya,Banten,2023
PLTS_Sulawesi5,590,tidak,Sulawesi Selatan,2022
PLTS_Jawa8,470,ya,Jawa Barat,2021
PLTS_Kalimantan4,520,tidak,Kalimantan Selatan,2023
PLTS_Bali4,380,ya,Bali,2022
PLTS_Sumatera5,660,tidak,Sumatera Utara,2021
PLTS_Jawa9,440,ya,Jawa Tengah,2023
