Nama_Perusahaan,Emisi_2020,Emisi_2021,Emisi_2022,Emisi_2023
PT_Textilindo,65,64.2,63.5,62.8
PT_Semindo,48,47.5,46.8,46.2
PT_EnergiJaya,80,79.5,78.8,78.3
PT_Pulpindo,58,57.2,56.5,55.8
PT_AgroMakmur,45,44.3,43.6,42.9
PT_BajaSentosa,70,69.5,69,68.5
PT_KimiaFarindo,52,51.3,50.6,49.9
PT_MiningCo,85,84.2,83.5,82.8
PT_PetroJaya,63,62.5,62,61.5
PT_SinarLogam,56,55.3,54.6,53.9
PT_IndoPlastik,50,49.2,48.5,47.8
PT_BumiEnergi,78,77.5,76.8,76.1
PT_TextilMakmur,67,66.5,66,65.5
PT_SemenBerkah,46,45.5,45,44.5
PT_KertasJaya,61,60.3,59.6,58.9
PT_AgroSentosa,44,43.5,43,42.5
PT_BajaIndo,73,72.5,72,71.5
PT_KimiaJaya,51,50.5,50,49.5
PT_TambangMakmur,83,82.5,82,81.5
PT_PetroMakmur,65,64.5,64,63.5
PT_LogamBerkah,57,56.5,56,55.5
PT_PlastikJaya,49,48.5,48,47.5
PT_EnergiMakmur,80,79.5,79,78.5
PT_TextilBerkah,69,68.5,68,67.5
PT_SemenJaya,47,46.5,46,45.5
PT_KertasMakmur,62,61.5,61,60.5
PT_AgroBerkah,43,42.5,42,41.5
PT_BajaMakmur,74,73.5,73,72.5
PT_KimiaMakmur,53,52.5,52,51.5
PT_TambangJaya,87,86.5,86,85.5
